instance_name,best_model,local_max_k
qspiflash_dualflexpress_divthree-p005,polynomial,-1
dspfilters_fastfir_second-p07,polynomial,-1
arbitrated_top_n3_w64_d128_e0,exponential,26
6s288r,polynomial,-1
picorv32-check-p05,linear,10
oc8051gm98addr,linear,10
picorv32_mutAX_nomem-p5,exponential,14
eijks298,linear,10
oski15a01b42s,exponential,6
neclaftp5001,linear,10
viscoherencep2,linear,10
intel046,polynomial,-1
intel038,linear,10
kenflashp13,linear,10
139463p0,linear,10
vcegar_arrays_itc99_b12_p2,polynomial,-1
prodcellp1,linear,10
6s301rb106,polynomial,-1
vgasim_imgfifo-p089,polynomial,-1
6s109,exponential,11
arbitrated_top_n2_w64_d64_e0,exponential,25
pdtvisgigamax4,linear,10
oski15a14b08s,polynomial,-1
oski15a01b04s,linear,10
139454p0,linear,10
bobcohdoptdcd4,exponential,23
beemelev2f1,linear,10
picorv32_mutCX_nomem-p0,exponential,9
oski15a14b21s,linear,10
beemfwt3f3,linear,10
oski15a01b44s,exponential,6
oski15a01b23s,linear,10
oski15a10b01s,linear,10
intel057,linear,10
oski15a01b67s,linear,10
eijks832,polynomial,-1
qspiflash_dualflexpress_divthree-p153,polynomial,-1
pdtvisgray0,linear,10
mentorbm1p09,exponential,19
circular_pointer_top_w32_d16_e0,polynomial,-1
139443p0,linear,10
pdtvisvending09,linear,10
arbitrated_top_n5_w64_d16_e0,exponential,17
mentorbm1p01,linear,10
oski15a07b5s,None,5
zipcpu-pfcache-p01,polynomial,-1
power2eq32768,polynomial,-1
qspiflash_dualflexpress_divthree-p113,exponential,33
pj2015,polynomial,-1
pdtvisgoodbakery0,polynomial,-1
oc8051gm12data,polynomial,-1
cal162,polynomial,-1
oski15a14b17s,polynomial,-1
oski15a01b11s,linear,10
6s173,polynomial,-1
qspiflash_qflexpress_divfive-p036,exponential,31
oski15a08b11s,linear,10
picorv32_mutBY_nomem-p7,exponential,8
oski15a01b69s,linear,10
qspiflash_qflexpress_divfive-p139,polynomial,-1
qspiflash_qflexpress_divfive-p048,polynomial,-1
oski15a01b29s,linear,10
qspiflash_dualflexpress_divthree-p032,polynomial,-1
6s108,polynomial,-1
texasparsesysp3,polynomial,-1
brp2,None,-1
bob3,polynomial,-1
zipversa_composecrc_prf-p07,linear,10
oski15a01b73s,linear,10
oc8051gmcadata,linear,10
6s389b02,linear,10
oski15a08b13s,linear,10
zipversa_composecrc_prf-p15,linear,10
bj08amba3g1,linear,10
oc8051gm1edata,linear,10
oski15a14b15s,None,30
pdtvisvending00,polynomial,-1
cal176,exponential,5
qspiflash_dualflexpress_divthree-p006,polynomial,-1
frogs,None,-1
arbitrated_top_n2_w128_d64_e0,exponential,15
6s184,exponential,9
qspiflash_dualflexpress_divfive-p126,polynomial,-1
eijks386,exponential,14
bob9234spec4neg,linear,10
kenflashp09,linear,10
abp4p2ff,exponential,16
cal86,polynomial,-1
6s273b37,linear,10
oski15a01b07s,None,31
cal161,polynomial,-1
bj08amba2g4f3,exponential,10
pdtvisretherrtf1,linear,10
6s320rb0,exponential,8
qspiflash_dualflexpress_divfive-p112,polynomial,-1
oski15a10b17s,linear,10
zipcpu-pfcache-p20,linear,10
bobtuintorneg,linear,10
oc8051gm15addr,polynomial,-1
qspiflash_dualflexpress_divthree-p111,polynomial,-1
nusmvtcasp3,linear,10
texasifetch1p1,linear,10
6s306rb03,linear,10
beemcycschd3b1,linear,10
oc8051gmc5addr,polynomial,-1
qspiflash_qflexpress_divfive-p067,polynomial,-1
oski3b0i,exponential,31
eijks510,polynomial,-1
bjrb07amba10andenv,polynomial,-1
pj2007,linear,10
kenflashp10,linear,10
6s310r,polynomial,-1
kenflashp03,linear,10
bobtuint26neg,polynomial,-1
oski15a01b37s,linear,10
oski15a01b16s,linear,10
oski15a01b02s,exponential,6
eijks713,linear,10
zipcpu-busdelay-p47,exponential,36
6s317b14,exponential,16
beemprdcell2f1,exponential,27
cmudme2,exponential,20
oc8051gm7daddr,linear,10
pdtswvtma6x4p1,polynomial,-1
6s403rb1342,polynomial,-1
oski15a01b59s,linear,10
