instance,K,tag,growth_class,max_spd,min_spd,last_spd,peak_ratio,n_computed,completeness
cal21,5,exponential,exponential,882,2,882,441.0,2,partial
gen44,5,exponential,constant,2846,1547,2846,1.8396897220426631,2,partial
irstdme5,5,exponential,exponential,18828,144,590,130.75,4,partial
shift_register_top_w16_d8_e0,5,exponential,exponential,3620812,155,3620812,23360.07741935484,3,partial
qspiflash_dualflexpress_divthree-p161,5,exponential,exponential,2859,231,2859,12.376623376623376,4,partial
shift_register_top_w32_d16_e0,5,exponential,constant,950,557,950,1.7055655296229804,3,partial
qspiflash_qflexpress_divfive-p107,5,exponential,exponential,2841,199,2841,14.27638190954774,4,partial
arbitrated_top_n2_w128_d32_e0,5,exponential,constant,10147,8378,8983,1.2111482454046312,5,complete
arbitrated_top_n2_w8_d32_e0,5,exponential,sub-exponential,2120,578,1131,3.667820069204152,5,complete
cal34,5,exponential,exponential,4305,2,4305,2152.5,2,partial
pdtpmsusbphy,5,linear,constant,202,175,202,1.1542857142857144,2,partial
6s339rb19,5,exponential,sub-exponential,4492,1528,4492,2.93979057591623,4,partial
arbitrated_top_n2_w8_d64_e0,5,exponential,sub-exponential,2538,1099,1911,2.3093721565059147,5,complete
circular_pointer_top_w64_d8_e0,5,exponential,constant,1211,663,1211,1.8265460030165912,3,partial
cal140,5,exponential,exponential,52603,2,52603,26301.5,2,partial
qspiflash_dualflexpress_divfive-p074,5,exponential,exponential,2797,232,2797,12.056034482758621,4,partial
abp4p2ff,5,exponential,exponential,3496,27,724,129.4814814814815,4,partial
gen43,5,exponential,constant,2925,1547,2925,1.8907563025210083,2,partial
oski15a01b70s,5,exponential,sub-exponential,79077,14547,79077,5.4359661785935245,2,partial
6s309b046,5,exponential,constant,9593,9559,9559,1.0035568574118632,5,complete
