instance_name,category,formula_size,proofdoor_size,formula-pd-size-ratio,smallest_interpolant_size,largest_interpolant_size
6s380b129,linear,1366185,50,27323.70,1,8,success (10/10),not available,not available,,not available,not available,
6s380b511,linear,1366768,90,15186.31,2,15,success (10/10),not available,not available,,not available,not available,
6s384rb024,linear,1871642,31,60375.55,1,4,success (10/10),not available,not available,,not available,not available,
6s385rb444,linear,4440523,12,370043.58,1,2,success (10/10),not available,not available,,not available,not available,
6s389b02,linear,1003562,2,,NA,NA,partial done (1/10),not available,not available,,not available,not available,
6s391rb379,linear,386707,24,16112.79,2,5,success (10/10),not available,not available,,not available,not available,
6s4,linear,81118,96,844.98,4,16,success (10/10),not available,not available,,not available,not available,
6s400rb07819,linear,2331771,20,116588.55,2,2,success (10/10),not available,not available,,not available,not available,
6s405rb611,linear,4197119,10,419711.90,1,1,success (10/10),not available,not available,,not available,not available,
6s406rb067,linear,4067601,10,406760.10,1,1,success (10/10),not available,not available,,not available,not available,
beemcycschd3b1,linear,104746,20,5237.30,1,3,success (10/10),not available,not available,,not available,not available,
beemelev2f1,linear,57725,154,374.84,2,45,success (10/10),not available,not available,,not available,not available,
beemfwt3f3,linear,661741,3737,177.08,1,901,success (10/10),not available,not available,,not available,not available,
beemlup1b1,linear,84746,62,1366.87,1,7,success (10/10),not available,not available,,not available,not available,
beempgsol5b1,linear,421252,not started,,NA,NA,not started,not available,not available,,not available,not available,
beemptrsn1b1,linear,59117,520,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
bj08amba2g1,linear,30353,29,1046.66,1,4,success (10/10),not available,not available,,not available,not available,
bj08amba3g1,linear,312080,29,10761.38,1,4,success (10/10),not available,not available,,not available,not available,
bj08amba5g62,linear,658653,6,,NA,NA,partial done (3/10),not available,not available,,not available,not available,
bj08aut82,linear,12576,28,449.14,1,3,success (10/10),not available,not available,,not available,not available,
bj08vendingcycle,linear,35341,not started,,NA,NA,not started,not available,not available,,not available,not available,
bjrb07amba1andenv,linear,33880,49,691.43,1,6,success (10/10),not available,not available,,not available,not available,
bob12s02,linear,416578,not started,,NA,NA,not started,not available,not available,,not available,not available,
bob9234spec4neg,linear,22089,16,1380.56,1,4,success (10/10),not available,not available,,not available,not available,
bob9234specand,linear,22056,not started,,NA,NA,not started,not available,not available,,not available,not available,
bobcount,linear,2587,641,4.04,13,169,success (10/10),not available,not available,,not available,not available,
bobmiterbm1and,linear,69087,not started,,NA,NA,not started,not available,not available,,not available,not available,
bobmiterbm1or,linear,69087,10,6908.70,1,1,success (10/10),not available,not available,,not available,not available,
bobsm5378d2,linear,68467,190500,,NA,NA,partial done (7/10),not available,not available,,not available,not available,
bobsmdct,linear,35426,13469,,NA,NA,partial done (8/10),not available,not available,,not available,not available,
bobsynth13,linear,510687,10,51068.70,1,1,success (10/10),not available,not available,,not available,not available,
bobsynthand,linear,510654,not started,,NA,NA,not started,not available,not available,,not available,not available,
bobsynthetic2,linear,654425,not started,,NA,NA,not started,not available,not available,,not available,not available,
bobsynthor,linear,511105,not started,,NA,NA,not started,not available,not available,,not available,not available,
bobtuint12neg,linear,64958,71,914.90,1,29,success (10/10),not available,not available,,not available,not available,
bobtuint19neg,linear,65057,105,619.59,2,30,success (10/10),not available,not available,,not available,not available,
bobtuint21neg,linear,65057,101,644.13,2,30,success (10/10),not available,not available,,not available,not available,
bobtuint24,linear,64958,10,6495.80,1,1,success (10/10),not available,not available,,not available,not available,
bobtuintand,linear,64925,not started,,NA,NA,not started,not available,not available,,not available,not available,
bobtuintorneg,linear,64925,not started,,NA,NA,not started,not available,not available,,not available,not available,
bobunr2p10d40l,linear,266152,2,,NA,NA,partial done (1/10),not available,not available,,not available,not available,
bobuns2p10d100l,linear,685972,1,,NA,NA,partial done (1/10),not available,not available,,not available,not available,
brpp1,linear,41223,not started,,NA,NA,not started,not available,not available,,not available,not available,
cal159,linear,1415263,38652,36.62,2,37911,success (10/10),not available,not available,,not available,not available,
cal35,linear,114686,not started,,NA,NA,not started,not available,not available,,not available,not available,
cal81,linear,2671648,not started,,NA,NA,not started,not available,not available,,not available,not available,
cmuperiodic,linear,49204,28,1757.29,1,3,success (10/10),not available,not available,,not available,not available,
counterp0,linear,2986,not started,,NA,NA,not started,not available,not available,,not available,not available,
csmacdp2,linear,176662,not started,,NA,NA,not started,not available,not available,,not available,not available,
dme6p1,linear,75194,not started,,NA,NA,not started,not available,not available,,not available,not available,
dme6p1neg,linear,75194,not started,,NA,NA,not started,not available,not available,,not available,not available,
dspfilters_fastfir_second-p04,linear,942255,20553,,NA,NA,partial done (8/10),not available,not available,,not available,not available,
dspfilters_fastfir_second-p21,linear,942651,680,,NA,NA,partial done (9/10),not available,not available,,not available,not available,
eijks1196,linear,34851,2146,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
eijks1238,linear,36732,101,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
eijks298,linear,7501,7590,,NA,NA,partial done (6/10),not available,not available,,not available,not available,
eijks713,linear,12741,334909,0.04,22,146596,success (10/10),not available,not available,,not available,not available,
gen10,linear,165497,387,427.64,9,115,success (10/10),not available,not available,,not available,not available,
